timestamp,open,high,low,close,volume,count
1675671420,22901.8,22901.8,22901.8,22901.8,0.32094874,17
1675671480,22899,22899,22878.8,22878.8,2.06807756,50
1675671540,22881.2,22881.2,22879.5,22879.6,0.01942604,7
1675671600,22879.6,22879.6,22879.5,22879.5,0.01882819,6
1675671660,22879.5,22879.6,22879.5,22879.6,0.46388861,9
1675671720,22879.6,22879.6,22874.7,22874.7,0.26709918,9
1675671780,22873.7,22873.7,22873.6,22873.6,0.00562433,6
1675671840,22873.6,22873.7,22873,22873.5,0.03467491,16
1675671900,22873.4,22873.5,22873.4,22873.4,0.01002556,6
1675671960,22873.4,22873.4,22873.4,22873.4,0.00388441,5
1675672020,22873.5,22873.5,22870,22870,0.08409822,13
1675672080,22870,22870.1,22852.8,22860.8,0.24518742,23
1675672140,22859,22859.1,22853.1,22853.1,3.05655364,31
1675672200,22853,22862.8,22850,22862.8,0.44477051,17
1675672260,22862.8,22888.8,22862.8,22888.8,0.27593897,13
1675672320,22889.2,22890.4,22881.2,22881.3,0.03275097,7
1675672380,22881.4,22883.1,22881.3,22883.1,0.00850659,6
1675672440,22883.2,22884.3,22883.2,22884.2,0.0662947,8
1675672500,22884.2,22884.3,22881.2,22881.2,0.01871647,8
1675672560,22881.2,22881.2,22881.2,22881.2,0.00298668,3
1675672620,22881.3,22881.3,22881.2,22881.2,0.1111716,11
1675672680,22869.5,22869.5,22867,22867.1,0.01796103,8
1675672740,22867.1,22868,22867,22868,0.23827041,8
1675672800,22867.9,22873.8,22867.9,22871.6,0.04888913,7
1675672860,22871.6,22880.6,22871.6,22880.6,0.00329091,4
1675672920,22879.5,22887.9,22879.4,22887.9,0.14492038,16
1675672980,22887.9,22888.5,22887.8,22888.4,0.04648372,12
1675673040,22888.4,22888.4,22885.9,22886.8,4.02597572,17
1675673100,22888.5,22891.9,22888.4,22890.3,0.14022658,18
1675673160,22891.2,22891.2,22887,22887.6,0.37709011,25
1675673220,22888,22888,22881.9,22882.6,0.07794972,10
1675673280,22882.5,22882.6,22873.6,22873.6,0.03701259,7
1675673340,22874.3,22875.5,22870.3,22872.8,0.05615423,11
1675673400,22872.8,22881.9,22872.8,22876.9,0.12439334,14
1675673460,22877,22878.6,22874.9,22877.2,0.39862382,17
1675673520,22875.8,22877.3,22875.5,22876.4,0.06090086,10
1675673580,22877.3,22877.3,22869,22869,0.00718751,7
1675673640,22867.1,22867.1,22867,22867,0.00900822,5
1675673700,22867.1,22867.1,22867,22867,0.00882287,7
1675673760,22867.1,22867.5,22867,22867.1,0.04136647,8
1675673820,22867.1,22867.1,22867,22867,0.01024037,5
1675673880,22867.5,22875.7,22867,22867,0.02381448,11
1675673940,22867.9,22867.9,22867,22867,0.01560937,5
1675674000,22867.2,22872,22867.2,22870.2,0.12718088,17
1675674060,22870.1,22870.1,22869,22869,0.00469676,4
1675674120,22869.1,22869.1,22867,22867.4,0.01047948,9
1675674180,22869.1,22871.8,22869.1,22870.3,0.07543629,17
1675674240,22870.3,22870.4,22870.1,22870.1,0.03013255,9
1675674300,22869.4,22871,22867.8,22869.7,0.48442797,17
1675674360,22869.8,22871.8,22869.8,22869.9,0.7223842,15
1675674420,22870,22870,22867.1,22868.4,0.53125698,9
1675674480,22869.9,22870.1,22867.6,22867.7,0.25533739,8
1675674540,22867.6,22867.6,22867,22867,0.09070204,12
1675674600,22867.1,22867.1,22859.9,22859.9,0.34634471,19
1675674660,22859.9,22863.2,22859.8,22862.3,1.59369212,14
1675674720,22862.4,22862.4,22862.4,22862.4,0.00685526,4
