timestamp,open,high,low,close,volume,count
1677837960,22364.9,22364.9,22361.2,22361.3,0.07083258,5
1677838020,22360.2,22360.2,22360.2,22360.2,0.01655828,1
1677838200,22367.4,22367.6,22367.4,22367.6,0.2235716,3
1677838260,22367,22367.1,22367,22367.1,0.04375791,3
1677838320,22362.6,22362.6,22362.6,22362.6,0.00215675,1
1677838380,22360.2,22360.2,22360.2,22360.2,0.00810699,1
1677838440,22363.1,22363.1,22363.1,22363.1,0.00639638,1
1677838620,22387.6,22387.6,22387.6,22387.6,0.00403499,1
1677838740,22381.8,22381.8,22380.4,22380.4,0.02938499,2
1677838860,22383.3,22383.3,22383.3,22383.3,0.00086782,1
1677838920,22381.9,22382.4,22381.8,22382.2,0.22808,5
1677839160,22367.4,22367.6,22367.4,22367.6,0.04556554,2
1677839220,22372.5,22372.5,22372.5,22372.5,0.0001,1
1677839400,22369.6,22369.7,22369.6,22369.7,0.02557321,2
1677839460,22373.6,22382.8,22373.6,22382.5,0.04826843,4
1677839520,22380.9,22380.9,22380.9,22380.9,0.00067021,1
1677839640,22372.6,22372.7,22372.6,22372.7,2.3393,3
1677839820,22376.8,22376.8,22376.8,22376.8,0.00554408,1
1677839940,22380,22384.5,22380,22384.5,0.0084682,2
1677840000,22377.9,22380.7,22377.2,22377.2,0.26628417,5
1677840060,22384.3,22384.3,22384.3,22384.3,0.00923882,1
1677840120,22382.7,22385,22382.5,22385,0.2498747,4
1677840180,22384.5,22384.5,22384.5,22384.5,0.006162,2
1677840240,22384.5,22384.9,22383.5,22383.5,0.5406526,4
1677840300,22382,22382,22380,22380,0.01985013,2
1677840360,22380.4,22380.4,22378.7,22378.7,0.041179,3
1677840420,22373.7,22373.7,22373.7,22373.7,0.015,1
1677840480,22371.1,22371.1,22367.4,22370.5,0.62922593,6
1677840600,22353.8,22353.8,22350.1,22353.7,0.05301932,4
1677840660,22355.8,22361.3,22355.8,22361.3,0.02862248,3
1677840720,22363.3,22363.3,22363.3,22363.3,0.028479,2
1677840780,22361.1,22362,22361.1,22362,0.12165789,6
1677840840,22360.3,22360.3,22352,22355.5,0.22864897,7
1677840900,22361.2,22361.3,22361.2,22361.3,0.15,2
1677840960,22366.6,22366.6,22366.6,22366.6,0.03660551,1
1677841020,22370.9,22371.1,22365.1,22365.1,0.21911593,9
1677841080,22366.3,22367.5,22365,22367.5,0.44727804,12
1677841140,22365.1,22365.1,22365.1,22365.1,0.00626542,2
1677841200,22365,22365,22365,22365,0.09218304,1
1677841260,22362.3,22362.3,22362.3,22362.3,0.00469,2
1677841320,22362.4,22362.4,22360,22360,0.6516165,7
1677841440,22359.9,22359.9,22347.4,22351.1,9.70594022,37
1677841500,22352.7,22352.7,22351.6,22351.6,1,7
1677841560,22355,22355,22354.9,22354.9,2.010304,3
1677841620,22354.9,22354.9,22354,22354,3.019396,10
1677841680,22347.2,22347.2,22347.1,22347.1,0.04846126,2
1677841740,22342.5,22342.6,22311.4,22320,2.05552614,13
1677841800,22319.8,22319.8,22311.8,22319.1,2.0390561,14
1677841860,22335.9,22335.9,22335.9,22335.9,0.07776,1
1677841920,22342.3,22342.3,22342.3,22342.3,0.07776,1
1677841980,22339.3,22339.3,22339.3,22339.3,0.07776,1
1677842040,22341.2,22342.9,22341.2,22342.9,0.08141827,3
